YEAR,MO,DY,T2M,RH2M
2020,12,3,18.09,45.52
2020,12,4,19.71,34.27
2020,12,5,19.62,30.46
2020,12,6,19.44,35.32
2020,12,7,18.91,38.12
2020,12,8,19.19,38.14
2020,12,9,20.08,37.86
2020,12,10,20.18,44.8
2020,12,11,20.66,45.22
2020,12,12,19.26,59.32
2020,12,13,15.34,51.71
2020,12,14,13.06,46.52
2020,12,15,12.32,45.29
2020,12,16,12.74,39.86
2020,12,17,10.2,36.6
2020,12,18,11.3,33.4
2020,12,19,12.7,29.62
2020,12,20,13.5,28.49
2020,12,21,13.65,38.52
2020,12,22,15.28,34.77
2020,12,23,14.76,36.77
2020,12,24,14.06,40.37
2020,12,25,13.2,40.0
2020,12,26,13.95,38.05
2020,12,27,15.72,34.17
2020,12,28,11.85,34.04
2020,12,29,11.2,40.33
2020,12,30,10.19,48.21
2020,12,31,10.78,39.56
2021,1,1,13.36,31.89
2021,1,2,13.5,53.98
2021,1,3,15.79,87.44
2021,1,4,17.43,76.5
2021,1,5,17.53,73.36
2021,1,6,16.49,74.58
2021,1,7,14.49,76.34
2021,1,8,15.48,71.88
2021,1,9,15.88,64.41
2021,1,10,12.98,58.13
2021,1,11,11.0,53.02
2021,1,12,11.24,48.85
2021,1,13,10.09,46.81
2021,1,14,12.06,39.14
2021,1,15,12.65,37.15
2021,1,16,10.91,45.45
2021,1,17,10.94,48.03
2021,1,18,13.73,40.97
2021,1,19,14.92,49.95
2021,1,20,13.54,50.16
2021,1,21,13.09,51.09
2021,1,22,13.32,41.61
2021,1,23,14.04,40.74
2021,1,24,12.08,55.76
2021,1,25,10.83,50.87
2021,1,26,11.92,49.09
2021,1,27,12.1,44.89
2021,1,28,11.34,40.75
2021,1,29,11.3,41.0
2021,1,30,12.1,40.98
2021,1,31,14.11,34.11
2021,2,1,15.93,32.33
2021,2,2,16.45,34.59
2021,2,3,16.25,39.76
2021,2,4,16.17,55.01
2021,2,5,14.6,64.45
2021,2,6,14.29,50.01
2021,2,7,14.51,48.46
2021,2,8,15.13,47.19
2021,2,9,17.63,42.11
2021,2,10,19.2,37.49
2021,2,11,17.5,42.78
2021,2,12,17.82,44.74
2021,2,13,18.3,36.03
2021,2,14,19.38,32.4
2021,2,15,20.37,31.05
2021,2,16,19.49,37.21
2021,2,17,18.61,40.96
2021,2,18,19.21,33.83
2021,2,19,18.24,37.18
2021,2,20,17.76,37.4
2021,2,21,18.11,37.8
2021,2,22,20.06,33.36
2021,2,23,21.89,29.39
2021,2,24,23.44,26.88
2021,2,25,23.01,29.05
2021,2,26,24.48,31.53
2021,2,27,23.97,36.86
2021,2,28,22.85,30.13
2021,3,1,21.17,22.95
2021,3,2,20.75,23.79
2021,3,3,22.65,20.64
2021,3,4,24.49,19.09
2021,3,5,23.61,20.91
2021,3,6,24.74,18.83
2021,3,7,25.6,18.83
2021,3,8,25.16,24.21
2021,3,9,26.6,24.96
2021,3,10,26.22,30.75
2021,3,11,26.39,23.64
2021,3,12,23.03,42.65
2021,3,13,24.08,52.5
2021,3,14,25.45,29.45
2021,3,15,24.98,27.41
2021,3,16,25.4,28.67
2021,3,17,26.69,28.75
2021,3,18,27.63,26.82
2021,3,19,27.88,28.85
2021,3,20,26.75,25.74
2021,3,21,27.72,24.73
2021,3,22,26.91,25.02
2021,3,23,28.01,26.88
2021,3,24,26.39,26.77
2021,3,25,24.86,27.82
2021,3,26,24.78,29.2
2021,3,27,27.17,25.45
2021,3,28,29.12,21.9
2021,3,29,30.32,18.78
2021,3,30,30.65,16.8
2021,3,31,28.56,11.49
2021,4,1,26.44,7.3
2021,4,2,25.93,9.19
2021,4,3,25.93,6.84
2021,4,4,27.35,8.62
2021,4,5,29.26,12.56
2021,4,6,30.92,12.74
2021,4,7,29.93,23.43
2021,4,8,27.87,14.89
2021,4,9,27.93,13.37
2021,4,10,28.89,14.92
2021,4,11,29.72,15.57
2021,4,12,31.11,16.37
2021,4,13,32.01,18.03
2021,4,14,32.49,19.51
2021,4,15,32.77,17.12
2021,4,16,32.81,19.77
2021,4,17,29.53,31.78
2021,4,18,29.58,27.62
2021,4,19,31.24,20.84
2021,4,20,28.68,23.21
2021,4,21,27.44,32.17
2021,4,22,27.33,32.2
2021,4,23,29.35,24.16
2021,4,24,27.47,28.25
2021,4,25,28.9,17.59
2021,4,26,31.06,13.63
2021,4,27,33.37,13.85
2021,4,28,33.97,13.15
2021,4,29,34.67,17.88
2021,4,30,34.66,17.1
2021,5,1,33.73,19.57
2021,5,2,33.6,21.42
2021,5,3,33.92,23.81
2021,5,4,34.77,20.39
2021,5,5,33.54,20.14
2021,5,6,33.0,29.94
2021,5,7,31.59,35.56
2021,5,8,32.11,29.22
2021,5,9,33.1,26.83
2021,5,10,34.56,24.96
2021,5,11,33.78,25.38
2021,5,12,34.07,24.67
2021,5,13,30.93,36.53
2021,5,14,31.86,32.87
2021,5,15,33.51,26.98
2021,5,16,34.12,21.22
2021,5,17,33.43,22.31
2021,5,18,30.03,38.56
2021,5,19,25.52,67.6
2021,5,20,24.92,74.53
2021,5,21,28.26,57.33
2021,5,22,29.68,52.14
2021,5,23,28.72,45.34
2021,5,24,29.25,38.26
2021,5,25,31.03,36.13
2021,5,26,32.27,34.92
2021,5,27,33.18,29.87
2021,5,28,31.76,36.89
2021,5,29,31.87,52.33
2021,5,30,32.06,53.2
2021,5,31,34.94,39.83
2021,6,1,31.43,45.88
2021,6,2,31.86,40.34
2021,6,3,32.34,41.23
2021,6,4,33.99,41.36
2021,6,5,34.33,42.31
2021,6,6,33.74,44.34
2021,6,7,34.94,41.06
2021,6,8,35.98,37.89
2021,6,9,36.69,38.4
2021,6,10,33.62,51.79
2021,6,11,32.49,56.1
2021,6,12,32.62,58.37
2021,6,13,31.91,60.6
2021,6,14,33.48,43.91
2021,6,15,32.99,49.43
2021,6,16,31.76,52.88
2021,6,17,31.67,56.66
2021,6,18,31.22,57.42
2021,6,19,29.99,61.65
2021,6,20,30.68,62.29
2021,6,21,33.08,47.51
2021,6,22,33.93,42.91
2021,6,23,34.29,41.47
2021,6,24,33.64,45.37
2021,6,25,33.49,44.71
2021,6,26,32.38,43.08
2021,6,27,33.59,44.51
2021,6,28,34.49,44.13
2021,6,29,35.78,34.83
2021,6,30,36.64,33.63
2021,7,1,37.37,35.46
2021,7,2,36.9,38.87
2021,7,3,34.4,50.2
2021,7,4,34.5,43.51
2021,7,5,35.16,39.67
2021,7,6,36.01,40.39
2021,7,7,36.92,38.41
2021,7,8,37.66,36.94
2021,7,9,35.05,49.78
2021,7,10,34.78,46.81
2021,7,11,33.34,56.85
2021,7,12,31.78,62.1
2021,7,13,29.95,72.68
2021,7,14,29.65,75.3
2021,7,15,32.16,61.98
2021,7,16,33.89,55.93
2021,7,17,34.26,56.4
2021,7,18,31.52,72.71
2021,7,19,28.47,90.13
2021,7,20,28.28,87.79
2021,7,21,28.52,86.74
2021,7,22,29.67,81.28
2021,7,23,29.43,85.05
2021,7,24,30.56,78.82
2021,7,25,31.31,77.0
2021,7,26,29.14,82.74
2021,7,27,29.39,84.81
2021,7,28,28.03,88.46
2021,7,29,28.19,87.39
2021,7,30,28.48,87.25
2021,7,31,28.85,84.79
2021,8,1,30.24,76.21
2021,8,2,29.21,84.09
2021,8,3,28.9,84.96
2021,8,4,28.51,85.0
2021,8,5,28.87,84.04
2021,8,6,29.1,76.63
2021,8,7,27.05,87.48
2021,8,8,29.42,80.03
2021,8,9,28.86,83.08
2021,8,10,29.63,81.29
2021,8,11,29.0,76.98
2021,8,12,29.01,78.56
2021,8,13,29.54,79.19
2021,8,14,29.78,80.39
2021,8,15,29.76,76.03
2021,8,16,29.91,73.45
2021,8,17,30.26,70.01
2021,8,18,29.63,72.37
2021,8,19,29.68,78.25
2021,8,20,26.92,90.53
2021,8,21,27.49,90.34
2021,8,22,28.43,85.24
2021,8,23,29.08,82.74
2021,8,24,28.67,82.74
2021,8,25,28.49,80.95
2021,8,26,28.58,80.38
2021,8,27,29.69,74.34
2021,8,28,29.18,78.76
2021,8,29,28.81,82.71
2021,8,30,27.74,85.41
2021,8,31,26.81,87.03
2021,9,1,26.64,88.3
2021,9,2,26.57,89.38
2021,9,3,27.1,89.41
2021,9,4,27.71,87.15
2021,9,5,28.59,83.91
2021,9,6,28.94,84.59
2021,9,7,28.53,87.35
2021,9,8,27.75,86.82
2021,9,9,27.6,87.05
2021,9,10,27.11,88.74
2021,9,11,26.53,92.99
2021,9,12,26.6,88.72
2021,9,13,27.52,82.46
2021,9,14,27.67,79.73
2021,9,15,27.14,83.6
2021,9,16,26.47,86.03
2021,9,17,25.95,86.37
2021,9,18,26.86,87.1
2021,9,19,27.72,86.11
2021,9,20,28.15,85.83
2021,9,21,28.05,85.98
2021,9,22,26.61,91.73
2021,9,23,25.67,88.73
2021,9,24,26.58,83.82
2021,9,25,27.39,84.86
2021,9,26,26.99,86.6
2021,9,27,27.3,81.98
2021,9,28,27.09,84.15
2021,9,29,26.67,85.82
2021,9,30,27.37,84.59
2021,10,1,28.28,81.8
2021,10,2,28.53,80.0
2021,10,3,28.18,80.49
2021,10,4,28.81,73.35
2021,10,5,27.6,79.91
2021,10,6,27.07,81.48
2021,10,7,25.84,78.61
2021,10,8,25.93,70.4
2021,10,9,25.68,65.04
2021,10,10,26.63,61.95
2021,10,11,26.62,63.19
2021,10,12,25.73,66.23
2021,10,13,23.86,67.35
2021,10,14,23.17,64.66
2021,10,15,25.64,65.03
2021,10,16,26.46,60.81
2021,10,17,25.63,74.57
2021,10,18,22.13,93.11
2021,10,19,22.85,83.32
2021,10,20,22.35,74.72
2021,10,21,21.38,67.54
2021,10,22,22.45,69.17
2021,10,23,22.59,80.1
2021,10,24,22.61,78.96
2021,10,25,21.66,80.04
2021,10,26,20.37,72.63
2021,10,27,19.39,68.46
2021,10,28,19.81,69.23
2021,10,29,21.45,58.89
2021,10,30,19.19,71.35
2021,10,31,20.03,64.25
2021,11,1,19.49,67.24
2021,11,2,18.56,73.43
2021,11,3,19.36,74.27
2021,11,4,19.59,70.07
2021,11,5,19.76,63.49
2021,11,6,18.05,68.92
2021,11,7,19.08,68.12
2021,11,8,18.69,68.52
2021,11,9,19.06,66.82
2021,11,10,19.68,60.41
2021,11,11,19.85,55.51
2021,11,12,18.92,59.08
2021,11,13,17.19,63.55
2021,11,14,17.43,56.44
2021,11,15,16.82,55.82
2021,11,16,15.67,59.55
2021,11,17,16.69,54.17
2021,11,18,17.34,56.22
2021,11,19,17.47,56.13
2021,11,20,15.08,74.49
2021,11,21,16.12,67.6
2021,11,22,15.58,59.92
2021,11,23,16.14,52.59
2021,11,24,16.08,54.77
2021,11,25,16.44,61.67
2021,11,26,17.1,56.03
2021,11,27,15.52,69.96
2021,11,28,17.1,66.21
2021,11,29,16.42,61.4
2021,11,30,16.12,60.09
2021,12,1,14.81,66.52
2021,12,2,14.34,69.75
2021,12,3,15.72,59.67
2021,12,4,18.05,52.07
2021,12,5,17.94,61.05
2021,12,6,17.28,71.02
2021,12,7,14.76,66.55
2021,12,8,14.8,57.26
2021,12,9,15.66,52.27
2021,12,10,14.46,63.08
2021,12,11,14.47,54.96
2021,12,12,14.87,52.54
2021,12,13,11.77,68.96
2021,12,14,13.49,67.35
2021,12,15,13.2,63.63
2021,12,16,12.44,57.88
2021,12,17,10.01,57.21
2021,12,18,8.6,50.5
2021,12,19,8.07,50.02
2021,12,20,9.78,44.72
2021,12,21,12.48,39.03
2021,12,22,13.2,43.99
2021,12,23,13.14,50.91
2021,12,24,13.41,58.81
2021,12,25,14.23,57.25
2021,12,26,13.61,65.98
2021,12,27,14.99,69.4
2021,12,28,13.85,75.1
2021,12,29,12.96,68.88
2021,12,30,10.98,48.55
2021,12,31,10.78,52.23
2022,1,1,12.15,51.69
2022,1,2,12.78,53.86
2022,1,3,13.44,50.34
2022,1,4,15.64,48.2
2022,1,5,13.32,68.57
2022,1,6,13.44,86.68
2022,1,7,14.48,88.36
2022,1,8,15.06,91.91
2022,1,9,14.3,91.16
2022,1,10,11.13,81.0
2022,1,11,10.31,75.84
2022,1,12,10.62,77.28
2022,1,13,11.99,75.83
2022,1,14,11.41,78.08
2022,1,15,10.56,78.34
2022,1,16,11.15,69.72
2022,1,17,10.84,70.24
2022,1,18,10.33,76.04
2022,1,19,10.18,77.95
2022,1,20,12.47,78.1
2022,1,21,13.34,77.23
2022,1,22,10.86,89.11
2022,1,23,11.55,87.92
2022,1,24,10.79,80.61
2022,1,25,10.33,82.9
2022,1,26,9.84,82.38
2022,1,27,10.14,73.47
2022,1,28,10.26,63.86
2022,1,29,11.43,61.96
2022,1,30,12.49,67.69
2022,1,31,14.75,60.51
2022,2,1,14.24,62.99
2022,2,2,13.05,60.32
2022,2,3,12.45,72.66
2022,2,4,11.25,85.13
2022,2,5,11.69,71.1
2022,2,6,13.08,58.74
2022,2,7,14.34,60.52
2022,2,8,16.07,66.26
2022,2,9,13.75,88.45
2022,2,10,12.93,73.3
2022,2,11,12.24,63.74
2022,2,12,13.35,57.62
2022,2,13,15.41,49.79
2022,2,14,15.48,54.54
2022,2,15,16.2,57.54
2022,2,16,16.83,55.11
2022,2,17,16.25,55.68
2022,2,18,16.78,51.73
2022,2,19,16.02,55.98
2022,2,20,15.12,55.86
2022,2,21,16.25,47.17
2022,2,22,17.03,52.83
2022,2,23,16.42,61.15
2022,2,24,17.75,63.03
2022,2,25,18.99,55.2
2022,2,26,16.99,64.97
2022,2,27,17.2,63.0
2022,2,28,16.21,57.24
2022,3,1,17.66,47.73
2022,3,2,18.97,48.71
2022,3,3,20.16,48.23
2022,3,4,19.12,58.76
2022,3,5,18.31,57.04
2022,3,6,19.58,48.31
2022,3,7,20.52,46.45
2022,3,8,21.4,46.47
2022,3,9,21.67,46.1
2022,3,10,21.67,47.65
2022,3,11,21.74,49.44
2022,3,12,21.73,45.53
2022,3,13,24.66,43.0
2022,3,14,25.7,45.33
2022,3,15,26.71,46.54
2022,3,16,26.2,44.93
2022,3,17,26.1,45.29
2022,3,18,27.38,49.39
2022,3,19,28.37,41.2
2022,3,20,29.05,36.97
2022,3,21,28.07,36.23
2022,3,22,26.86,36.66
2022,3,23,27.66,31.33
2022,3,24,27.53,32.83
2022,3,25,26.72,32.66
2022,3,26,25.96,30.66
2022,3,27,27.64,25.49
2022,3,28,29.29,21.92
2022,3,29,29.52,24.92
2022,3,30,30.09,24.41
2022,3,31,29.88,27.67
2022,4,1,28.84,24.84
2022,4,2,29.3,20.27
2022,4,3,29.76,18.98
2022,4,4,30.02,17.78
2022,4,5,29.71,19.83
2022,4,6,30.87,18.38
2022,4,7,31.83,17.95
2022,4,8,32.98,17.08
2022,4,9,33.91,15.61
2022,4,10,32.88,17.08
2022,4,11,34.06,15.69
2022,4,12,34.07,14.35
2022,4,13,32.56,18.04
2022,4,14,32.11,17.32
2022,4,15,31.62,18.63
2022,4,16,32.28,14.92
2022,4,17,32.25,16.6
2022,4,18,34.0,14.1
2022,4,19,35.23,14.11
2022,4,20,34.61,17.46
2022,4,21,30.59,30.48
2022,4,22,31.71,27.41
2022,4,23,32.36,16.62
2022,4,24,32.77,16.62
2022,4,25,33.71,15.76
2022,4,26,34.82,14.87
2022,4,27,34.61,11.9
2022,4,28,36.03,10.67
2022,4,29,36.52,13.12
2022,4,30,36.95,10.88
2022,5,1,35.43,13.41
2022,5,2,35.4,19.12
2022,5,3,34.72,22.8
2022,5,4,35.23,24.61
2022,5,5,32.5,34.95
2022,5,6,33.93,28.74
2022,5,7,34.53,24.03
2022,5,8,35.02,20.21
2022,5,9,34.58,27.55
2022,5,10,35.13,33.02
2022,5,11,35.96,31.65
2022,5,12,37.27,28.59
2022,5,13,37.65,19.95
2022,5,14,38.23,12.47
2022,5,15,37.89,10.53
2022,5,16,37.37,13.64
2022,5,17,36.15,15.13
2022,5,18,36.36,16.75
2022,5,19,37.47,16.1
2022,5,20,38.75,14.61
2022,5,21,35.8,22.12
2022,5,22,34.56,21.34
2022,5,23,31.15,39.39
2022,5,24,28.68,54.26
2022,5,25,30.41,44.22
2022,5,26,32.07,39.34
2022,5,27,34.04,37.21
2022,5,28,36.72,33.59
2022,5,29,34.64,33.99
2022,5,30,33.93,39.21
2022,5,31,33.67,30.13
2022,6,1,35.96,23.79
2022,6,2,36.06,21.66
2022,6,3,36.37,19.68
2022,6,4,36.8,16.84
2022,6,5,37.04,19.28
2022,6,6,37.5,15.24
2022,6,7,37.79,15.74
2022,6,8,37.05,17.91
2022,6,9,38.1,18.98
2022,6,10,37.83,20.43
2022,6,11,38.18,20.46
2022,6,12,38.44,20.51
2022,6,13,39.33,20.56
2022,6,14,38.16,31.84
2022,6,15,38.67,32.0
2022,6,16,37.78,35.62
2022,6,17,33.64,55.03
2022,6,18,31.57,57.97
2022,6,19,31.01,58.84
2022,6,20,32.74,41.42
2022,6,21,32.66,41.32
2022,6,22,33.75,41.08
2022,6,23,33.46,38.36
2022,6,24,33.24,31.36
2022,6,25,34.68,28.69
2022,6,26,35.37,30.69
2022,6,27,36.4,42.39
2022,6,28,37.84,37.93
2022,6,29,38.36,39.37
2022,6,30,30.97,74.53
2022,7,1,30.79,70.42
2022,7,2,32.3,60.74
2022,7,3,33.75,56.24
2022,7,4,34.53,54.6
2022,7,5,33.66,53.58
2022,7,6,34.57,49.95
2022,7,7,35.2,48.39
2022,7,8,36.16,45.96
2022,7,9,32.89,55.44
2022,7,10,32.35,57.0
2022,7,11,34.47,52.85
2022,7,12,33.32,59.13
2022,7,13,34.47,54.07
2022,7,14,34.35,51.59
2022,7,15,35.0,46.73
2022,7,16,33.12,56.32
2022,7,17,34.61,53.58
2022,7,18,35.56,51.19
